[2024-12-16 12:53:58 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/descifrando-el-futuro/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:58 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/dia-del-pastor/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:58 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/el-rescate-de-la-verdad/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:58 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/el-santuario/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:58 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/el-villano-de-la-semana/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:58 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/encuentro-de-padres/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/encuentro-de-padres-2012/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/encuentro-de-padres-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/encuentro-de-padres-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/encuentro-de-padres-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/entrenamiento-feria-de-salud/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/escuela-sabatica/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/eslabones-de-gracia/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/evangelismo-publico-de-cosecha/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/evangelismo-via-satelite-2/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/familias-blindadas-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/finanzas-hogar-y-familia/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/gain-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/gente-como-jesus/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/grupos-pequenos-prototipo/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/guia-de-estudio-mision-caleb/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/hablando-esperanza/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/i-trimestre-2012/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/i-trimestre-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/i-trimestre-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:59 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/i-trimestre-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/i-trimestre-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/i-will-go/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/i-will-go-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/iglesia-receptiva/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/ii-trimestre-2012/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/ii-trimestre-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/ii-trimestre-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/ii-trimestre-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/ii-trimestre-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/iii-trimestre-2012/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/iii-trimestre-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/iii-trimestre-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/iii-trimestre-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/iii-trimestre-de-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/informativo-mundial/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/informativo-mundial-de-las-misiones-1otrim-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/informativo-mundial-de-las-misiones-1otrim-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/informativo-mundial-de-las-misiones-1otrim-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/informativo-mundial-misiones-2-tri-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/informativo-mundial-de-las-misiones-2otrim-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/informativo-mundial-de-las-misiones-2otrim-2016/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/informativo-mundial-de-las-misiones-3otrim-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/informativo-mundial-de-las-misiones-3otrim-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:00 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/informativo-mundial-de-las-misiones-3otrim-2016/  have been purged, triggered by action: edit_terms 
