[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/descifrando-el-futuro/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/dia-del-pastor/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/el-rescate-de-la-verdad/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/el-santuario/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/el-villano-de-la-semana/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/encuentro-de-padres/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/encuentro-de-padres-2012/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/encuentro-de-padres-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/encuentro-de-padres-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/encuentro-de-padres-2015/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/entrenamiento-feria-de-salud/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/escuela-sabatica/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/eslabones-de-gracia/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/evangelismo-publico-de-cosecha/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/evangelismo-via-satelite-2/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/familias-blindadas-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/finanzas-hogar-y-familia/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/gain-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/gente-como-jesus/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/grupos-pequenos-prototipo/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/guia-de-estudio-mision-caleb/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/hablando-esperanza/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/i-trimestre-2012/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/i-trimestre-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/i-trimestre-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:24 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/i-trimestre-2015/  have been purged, triggered by action: edit_terms 
